,Curso Recomendado,Curso Recomendado Predicción
Curso Modular en Tecnologías Digitales.,6,5
Curso TIC para Docentes.,12,13
Curso Virtual de Tecnología de la Información y Comunicación.,3,2
Cursos de TIC y Herramientas para el Aula (TIC 2).,2,2
Definición y principios básicos de la pedagogía.,4,3
Estrategias de Aprendizaje.,4,1
Evaluación Formativa y Retroalimentación Constructiva.,3,3
Formación Continua en Educación Virtual con TIC.,11,12
Formación Docente Continua: Innovaciones Pedagógicas.,7,5
Fundamentos de TIC y Educación.,6,7
Fundamentos de la Docencia en Línea para la Formación de Tutores.,3,3
Fundamentos de la Docencia en Línea.,4,4
Gestión del Aula Virtual con Microsoft Teams.,4,4
Herramientas Tecnológicas para Docentes de Educación Superior.,5,1
Integración de TIC en Proyectos Educativos.,6,5
Maestría en Enseñanza del Inglés.,4,3
Metodologías Ágiles para la Educación con TIC.,3,2
Metodologías Ágiles para la Educación.,20,23
Métodos tradicionales vs. métodos activos.,5,5
Pedagogía Activa: Innovaciones y Mejores Prácticas,6,4
Potenciando la Investigación Educativa y Escritura Académica.,3,3
Psicopedagogía y Aprendizaje.,3,7
TIC y Aprendizaje Activo.,10,13
Técnicas para dar retroalimentación efectiva a los estudiantes.,10,13
Uso de tecnologías en el aula y su impacto en el aprendizaje.,4,5
