,Curso Recomendado,Curso Recomendado Predicción
Curso Modular en Tecnologías Digitales.,6,3
Curso TIC para Docentes.,12,15
Curso Virtual de Tecnología de la Información y Comunicación.,3,7
Cursos de TIC y Herramientas para el Aula (TIC 2).,2,3
Definición y principios básicos de la pedagogía.,4,3
Estrategias de Aprendizaje.,4,2
Evaluación Formativa y Retroalimentación Constructiva.,3,6
Formación Continua en Educación Virtual con TIC.,11,5
Formación Docente Continua: Innovaciones Pedagógicas.,7,6
Fundamentos de TIC y Educación.,6,4
Fundamentos de la Docencia en Línea para la Formación de Tutores.,3,2
Fundamentos de la Docencia en Línea.,4,3
Gestión del Aula Virtual con Microsoft Teams.,4,4
Herramientas Tecnológicas para Docentes de Educación Superior.,5,2
Integración de TIC en Proyectos Educativos.,6,3
Maestría en Enseñanza del Inglés.,4,4
Metodologías Ágiles para la Educación con TIC.,3,4
Metodologías Ágiles para la Educación.,20,26
Métodos tradicionales vs. métodos activos.,5,2
Pedagogía Activa: Innovaciones y Mejores Prácticas,6,6
Potenciando la Investigación Educativa y Escritura Académica.,3,2
Psicopedagogía y Aprendizaje.,3,7
TIC y Aprendizaje Activo.,10,12
Técnicas para dar retroalimentación efectiva a los estudiantes.,10,8
Uso de tecnologías en el aula y su impacto en el aprendizaje.,4,9
